rank,slug,source,n_jobs,top_titles,sample_description,industry,confidence
83,wachter,lever,65,Access Control Project Technician | Access Control Technician | Access Control Technician (Licensed) | Administrative Assistant 2nd Shift | Alarm Project Manager,"Wachter's greatest asset is the people who work here. Join the Wachter family and chart your career path! Wachter is accepting applications for a Physical Security Estimator in Mount Laurel, NJ. The ideal candidate is responsible for pre-sales support, system design, drafting a bill of materials, requesting distributor quotes, organizing pricing of equipment, and applying standard labor components",other,low
89,tdcx-malaysia,jobstreet,64,Business Excellence Project Expert | Inside Sales (Telco Project) | Trainer - Mandarin Speaker | Fraud & Risk Specialist | Talent Acquisition,"[Category: Sales / Sales Representatives/Consultants] Job description: #BeMore Do you aspire for a rewarding career that lets you do more and achieve more? Unleash your full potential at work with TDCX, an award-winning and fast-growing BPO company. Work with the world's most loved brands and be with awesome, diverse people. Be home, belong, and start your journey to #BeMore! Top Reasons to work w",other,low
92,flexport,greenhouse,63,"Account Executive, ENT | Account Executive, Enterprise | Air Operations Associate | Air Operations Associate, Hanoi | Air Pricing Associate","About Flexport:&nbsp; At Flexport, we believe global trade can move the human race forward. That’s why it’s our mission to make global commerce so easy there will be more of it. We’re shaping the future of a $10T industry with solutions powered by innovative technology and exceptional people. Today, companies of all sizes—from emerging brands to Fortune 500s—use Flexport technology to move more th",other,low
110,novafounders,greenhouse,61,Afgangselev | Assistant Analyst | Associate at Search Fund | Business Analyst Internship at Nova Founders | Business Intern,"Job Description Do you thrive in a fast-paced environment, where you gain a tremendous amount of responsibility? Do you want to be part of an exceptional entrepreneurial team with young, motivated and extremely driven people? And are you curious or passionate about finding and developing this generation’s greatest talents? If so, you might be our Recruiter. &nbsp; About us Nova Founders Capital is",other,low
115,deepmind,greenhouse,60,"Administrative Business Partner, Gemini (12 months Fixed Term Contract) | Director, Engineering, Create | Director of Product Management, Robotics | Director, UX, GeminiApp, Growth and Discovery | Distinguished Designer, Gemini App Systems","Snapshot We are seeking a Senior Psychologist to join the Responsible Development &amp; Innovation team (ReDI) at Google DeepMind. The candidate should have relevant prior industry experience, a strong general understanding of core psychological principles and the ability to leverage internal and external expertise and research experience in AI-related areas (e.g., cognitive, behavioural).&nbsp; A",other,low
117,five-below,linkedin,60,PT SUPPORT LEADER | Support Lead Part Time-3038 Riverton | Support Lead Part Time | Merchandise Manager | Customer Experience Manager,"At Five Below our growth is a result of the people who embrace our purpose: We know life is way better when you are free to Let Go & Have Fun in an amazing experience, filled with unlimited possibilities, priced so low, you can always say yes to the newest, coolest stuff! Just ask any of our over 17,000 associates who work at Five Below and they’ll tell you there’s no other place like it. It all s",other,low
120,getyourguide,greenhouse,60,"Accountant | AI/ML Manager, Supply Data Products | B2B Lifecycle & CRM Campaign Lead | Business Operations & Strategy Manager - Account Management Operations (Price, C | Data Engineering Manager, Supply","Change the way the world travels Join the GetYourGuide journey to connect people with unforgettable travel experiences around the world. Millions look to us for unique activities they can trust, and it’s all powered by our commitment to make every single journey extraordinary - including yours.&nbsp; Ready to unlock your potential with a community of fellow explorers? Find your next role at our Be",other,low
122,humana,linkedin,60,UM Administration Coordinator | Senior Product Owner | Behavioral Health Medical Director - N. Central Medicaid | Utilization Management Nurse 2 | Senior Data and Reporting Professional,"Become a part of our caring community and help us put health first The Accountant performs general accounting activities, including the preparation, maintenance and reconciliation of ledger accounts and financial statements such as balance sheets, profit-and-loss statements and capital expenditure schedules. Conducts or assists in the documentation of accounting projects. The Accountant work assig",other,low
124,linkedin,greenhouse,60,123123 | Bug Bash Job [No Sensitive Questions] - 03/24 | Bug Bash Job [ With Sensitive Questions] - 03/24 | Copy 1 of EA Test - Most Questions | EA -> AC malformed questions,"Company Description LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing ",other,low
125,proton,greenhouse,60,Account Management Lead | Account Manager | Android Test Automation Engineer (Native App) | Backend Engineer (B2B) | Backend Engineer - Marketing Technology,"About Proton Join Proton and build a better internet where privacy is the default Proton was founded in 2014 by scientists from CERN on a simple truth: privacy is a fundamental human right . Since then, we’ve built the world’s largest encrypted email service (Proton Mail) and expanded into Proton VPN, Proton Drive, Proton Pass, and Proton Calendar—tools used by millions globally to protect their f",other,low
131,usaa,linkedin,60,Property Adjuster Specialist (Field) | Entry Level Property Claims Adjuster | P&C Product Management Manager | Experienced Auto Adjuster (Non-Injury) | Claims Litigation Case Manager (Auto),"Why USAA? Let’s do something that really matters. At USAA, we have an important mission: facilitating the financial security of millions of U.S. military members and their families. Not all of our employees served in our nation’s military, but we all share in the mission to give back to those who did. We’re working as one to build a great experience and make a real impact for our members. We belie",other,low
152,meter,ashby,58,"Marketing, Majors | Deployment Engineer, Network | Customer Success | Full Stack Engineer, Command | Sales, Engineering - Northern California","At Meter, we believe events can be more than just touchpoints, you are bringing Meter’s brand into real life. As Event manager, you’ll be responsible for creating and executing small and large-scale events that differentiate Meter and leave a lasting impression on customers, partners, and employees. If you’re excited to experiment with event formats, work hand-in-hand with every department in the ",other,low
153,micron-memory-malaysia-sdn-bhd,jobstreet,58,"Recruiter (12 Months Contract) | Accountant (FA) | Senior/Engineer, Process Control System | PDE Product Integration Senior/Engineer | Senior Process Engineer (Wire Bond)","[Category: Engineering / Management] Responsibilities and Tasks: Lead a team to: Ensure product meets/exceeds all yield, quality, timeline commitments Debug, identify root causes, and develop solutions for failures through electrical failure analysis (EFA) and data analysis Develop, analyze, and optimize test flows in partnership with Test and Probe Protect customer experience by partnering with Q",other,low
163,cummins-inc,linkedin,57,Production Technician III - 1st shift | Ethics and Compliance Summer 2024 Internship Positions | Forge Press Operator (2nd Shift) | DWU - SEP - 95L Assembly Associate Special Assignment - 1st shift | DWU - CEP(HDM) - Transfer Line - Machining Production Team Associate - 2nd Shift,"Description Service Manager Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems. We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s",other,low
166,immiland-canada-inc,lever,57,Accounting Analyst (Canada & Colombia Support) | Automobile Mechanics or Truck trailer Mechanics | Bicycle Mechanic | Business Development Representative BDR | Carpenter Foreman,"We are seeking a highly skilled and proactive Senior NetSuite Administrator / Business Systems Analyst to manage and optimize our ERP ecosystem. Based in Montreal, this role is responsible for the administration, configuration, and continuous improvement of NetSuite ERP, while supporting critical integrations and business processes across the organization. The role will focus on system configurati",other,low
167,life-time-inc,linkedin,57,Accountant I | Summer Camp Supervisor | Personal Training Assistant Lead | Admissions Associate | Summer Camp Counselor,"Position Summary The Nail Technician Provides various manicure, pedicure, and nail services and treatments that improve the guests overall sense of well-being and enhances the club experience while living the mission, vision and core values of LifeSpa and Salon. They work with the entire LifeSpa and Salon team to provide a superior experience in a professional atmosphere. Job Duties And Responsibi",other,low
172,premiertruck,lever,57,"Aftermarket Sales Representative | Aftermarket Sales Representative - Collision, Parts, and Service | Aftermarket Sales Representative - Parts, Service, and Collision | Auto Body Technician | Back Counter Parts Sales",We are so excited you are interested in our Service Technician/Diesel Mechanic opportunities! We are interested in talking with Service Technicians/Diesel Mechanics of all levels and backgrounds. Please reach out to find out more about the different roles of our Service Technicians/Diesel Mechanics and the career path we can offer you. Winners Work Here! Premier Truck Group is dedicated to ONE Net,other,low
178,applike,lever,56,(Senior) Business Analyst (f/m/d) | (Senior) DevOps Engineer (f/m/d) | (Senior) System Administrator (f/m/d) | Business Analyst | Business Talent Pool,"adjoe is a leading mobile ad platform developing cutting-edge advertising and monetization solutions that take its app partners’ business to the next level. Part of the applike group ecosystem, adjoe is home to an advanced tech stack , powerful financial backing from Bertelsmann, and a highly motivated workforce to be reckoned with. Meet Your Team: Demand Integrations Team (part of the Advertising",other,low
182,crescolabs,greenhouse,56,Account Executive | Accounts Receivable Coordinator | Automation Technician | Cultivation Agent | Cultivation Agent - Indoor Flower,"COMPANY OVERVIEW Cresco Labs is one of the largest public, vertically integrated, multistate operators in the cannabis industry. Our portfolio of in-house cultivated and manufactured brands features some of the highest quality, most awarded and most popular cannabis products in America. With dozens of locations nationwide, our owned and operated Sunnyside® dispensaries provide a welcoming, positiv",other,low
191,peloton,greenhouse,56,"Consumer Sales and Lead Generation Specialist | Copywriter II | Design Tools Application Engineer III | Director, Global Product Quality | Director, Global Quality Management Systems","THE ROLE Peloton is looking for a Mid-level Copywriter with strong copy and conceptual thinking to execute creative work across our marketing channels. From full 360 campaigns to CRM, promo, and performance –&nbsp;we need someone who sees creative opportunity in everything.&nbsp; In this role, you’ll help shape how Peloton shows up across channels, creating messaging and copy that elevates both th",other,low
196,toogoodtogo,greenhouse,56,Accountant | Bilingual Business Development Representative (English/French) | Bilingual Business Development Representative (English/Mandarin) | Bilingual Enterprise Customer Success Manager (English/French) | Bilingual Key Account Store Operations Specialist (English/French),"At Too Good To Go, we have an ambitious mission: to inspire and empower everyone to fight food waste together More than 1/3 of all food produced in the world is wasted. And that has a huge impact on the health of our planet. 10% of greenhouse gas emissions come from food waste and loss. Through our marketplace app, we connect businesses that have unsold, surplus food, with consumers who can buy an",other,low
198,butternutbox,greenhouse,55,Accounts Payable Team Leader | Assistant Operations Manager | Brand Ambassador - Cork | Brand Ambassador (Evenementen) | Brand Ambassador (Events),"Fresh Food, Happy Dogs. We believe dogs deserve the healthiest, most natural and tastiest meals - with none of the nasties. That’s why we make FRESHly prepared food, cooked just like you would at home and delivered direct to our customers in perfect portions. As a B-Corp certified company, you’re joining a sustainable business that genuinely cares about our people, our products and our impact on t",other,low
204,purplelandmgmt,lever,55,"Associate Landman (Entry-Level) | Curative Landman – Permian Basin | Director of Land | Division Order Analyst – Houston, TX (On-Site) | Division Order Analyst – The Woodlands, TX (On-Site)","Are you a detail-oriented researcher who takes pride in accuracy and consistency? Do you thrive in environments where high standards, accountability, and a structured approach are key? Purple Land Management (PLM) is seeking a skilled professional who excels at reviewing runsheets and creating ownership reports on lands in East Texas and Arkansas. If you are committed to maintaining quality and fo",other,low
208,theeconomistgroup,greenhouse,55,"Account Executive - New Business | Administrator | Analyst, Middle East & Africa | Associate Product Manager - Subs Growth and Lifecycle | Business Development Manager","Who we are We are an organisation that exists to drive progress. That's the “red thread” that connects everyone at The Economist Group (TEG). Our businesses share a devotion to innovation, independence and rigour in their fields of expertise. We empower people to understand and tackle the critical challenges and changes facing the world. Our analytical rigour, global expertise and evidence-based i",other,low
212,usconec,greenhouse,55,3D Printing Technician | Applications Engineer | Assembly Lead - 1st Shift (8:00am to 5:00pm) | Assembly Lead - 3rd Shift (6:00pm to 2:00am) | Assembly Production Support Specialist - 3rd Shift (6:00pm to 2:00am),"US Conec, Ltd. Engineering Innovation. Precision Plastics. Powering AI. US Conec, Ltd. is a trusted, global company that prides itself on engineering excellence—creating innovative connectivity solutions that support today’s most important technologies. We foster a friendly, inclusive culture that values teamwork, creativity, and mutual respect. At US Conec, you’ll find real opportunities to grow ",other,low
221,cologix,lever,54,"** Spécialiste en HVAC ** | Account Director | Account Director, Hyperscale Sales | Account Director, Hyperscale Sales (Remote: USA) | Agent(e) de sécurité- Horaires 15h - 23h","Notre compagnie: Basée à Denver, au Colorado, Cologix est une entreprise chef de file en Amérique du Nord dans le domaine de l’interconnexion neutres réseaux et des centres de données edge hyperscale. Notre plateforme offre à nos clients un accès à plus de 45 centres de données numérique edge et hyperscale edge Scalelogix℠ répartis dans 13 marchés aux États-Unis et au Canada, ainsi qu’à un écosyst",other,low
224,guidepostmontessori,greenhouse,54,Afternoon Assistant Teacher | Assistant Director | Assistant Guide | Assistant Head of School - Mid-Levels | Assistant Spanish Teacher,"Shape a child’s very first learning experiences . At Guidepost Montessori, our Lead Infant and Toddler Guides create calm, nurturing environments where infants and Toddlers are respected as capable individuals from the very beginning. If you’re passionate about early development and want to lead a thoughtfully designed classroom that supports independence, movement, and discovery, we’d love to mee",other,low
232,windownation,lever,54,"Call Center Team Lead | Canvasser - Aurora, CO Area | Canvassing Team Lead - Denver, CO Area - Urgently Hiring ! | Controller | Customer Experience Admin","Now backed by the nationwide reach of Window Nation, NewSouth Window Solutions delivers the same trusted local craftsmanship with even more opportunity to grow and innovate. At NewSouth, we’re proud to transform homes across the Southeast with high quality windows and doors designed to stand up to the region’s climate and elevate everyday living. For years, homeowners have chosen NewSouth for our ",other,low
239,coherehealth,greenhouse,53,"Architecture Director | Associate Facility Administrator | Associate Medical Director, Cardiology | Associate Medical Director, Orthopedic Surgery | Claims Auditor","Opportunity Overview:&nbsp; The RN Reviewer position is a crucial role in our organization — in this role you are responsible for performing a full range of activities that will positively impact the organization and contribute to guiding the strategic operations for the company.&nbsp; As an RN Reviewer, you will perform prospective review (prior authorization) admission, concurrent, and retrospec",other,low
260,manpowergroup,linkedin,52,Sr Professional Recruiter (Remote) - RPO Consultant | Automation Specialist | Environmental Sustainability Intern | Senior ESH Specialist - Air | Corporate Project Engineer,"Description A Recruiter is responsible for putting people to work, helping them get ahead, and connecting their skills to clients. Drives all aspects of the full cycle recruitment process while providing an exceptional experience and service to our candidates, associates, and clients.Making an Impact • Identify, assess, place, and manage and advance a diverse talent portfolio of associates and pro",other,low
263,myodetox,lever,52,"Chiropractor | Chiropractor - West Hollywood | Chiropractor - Flatiron, NYC | Chiropractor - Calgary Talent Pool | Chiropractor - LA (Join the Talent Pool!)","At Myo, our mission is to raise body IQ globally. We aim to empower clients with the tools they need to move better, feel better, and do what they love—longer. We envision a world where everyone feels empowered to care for their bodies with clarity and confidence. Who We Are Myo is modern physical therapy to futureproof your body. Through 1:1 expert care, our team of physiotherapists, chiropractor",other,low
271,allegiantair,lever,51,"Agent, Customer Assistance | Agent, Customer Service/Ground Operations | Airport Contract Analyst | Charter Ramp Representative - CVG | Charter Ramp Representative - IWA","Summary Senior Tax Accountant will support the Tax Manager and assist with ensuring accurate and timely completion of tax provisions and compliance. The role will assist in fostering a positive team environment and ensuring completion of day-to-day operations in the Corporate Accounting Department. This position requires the highest level of professionalism, confidentiality, and integrity from an ",other,low
278,venturatravel,greenhouse,51,"Accountant/Bilanzbuchhalter | Bilingual Tourism Operations Coordinator - Peru | Bonn -Tour Guide Japan German speaker | Create Your Own Travel Brand with Ventura TRAVEL – Your Idea, Your Niche, Your W | Düsseldorf -Tour Guide Japan German speaker","Join us at YALLAVENTURA Yallaventura offers authentic, immersive, and culturally rich travel experiences across North Africa and the Middle East , starting with Morocco . Our trips are designed to connect travelers with the heart of each destination through local encounters, artisan workshops, traditional cuisine, and meaningful cultural experiences. At Yallaventura, we believe travel should go be",other,low
287,kao,greenhouse,50,"Accounts Payable Team Leader | Assistant Brand Manager (Fixed Term) | Associate Director, Demand & Supply Planning | Associate General Counsel, Marketing & Trademarks | Ausbildung zum Industriekaufmann / zur Industriekauffrau (m/w/d)","Kao Professional Hair Brands - Sales Representative VIC, Melbourne / Southeast​ Work with Goldwell, Oribe, KMS &amp; Kerasilk ​ Full Time | Field Based | $75–80K + Commission + Car Allowance​ ​ Step into a role where your passion for hair meets high-performing brands. ​ If you’ve worked in or around the salon industry, you already know our brands. Goldwell. Oribe. KMS. Kerasilk.​ Now’s your chance",other,low
295,waremalcomb,lever,50,"Accounting Intern | Administrative Assistant | Associate Engineer, Civil Engineering | Business Operations Manager, MEP & Structural Engineering | Civil Engineering Manager","Are you ready to join a growth-oriented team where creativity meets innovation? At Ware Malcomb, we are a dynamic and forward-thinking design firm committed to pushing the boundaries. Our team-oriented, collaborative approach ensures that every project is a blend of visionary design, seamless project delivery, and we are actively engaged with both the community and the industry. Discover our vibra",other,low
309,sunway-medical-centre-sdn-bhd,jobstreet,49,"Senior Executive, Credit Control | Executive Secretary | Finance assistant (6 months contract) | Executive, Medical Affairs | Business Office Assistant",[Category: Call Centre & Customer Service / Management & Support] Job Purpose To manage and lead the Customer Service personnel to provide excellent customer care and services in achieving the Corporation’s objectives and mission through working with all stakeholders in insuring Customers’ satisfaction and retention Lead and manage the Customer Service department towards achieving continuous impro,other,low
348,financialtimes33,greenhouse,47,"Account Coordinator - 12 Month FTC | Account Manager - 12 Month FTC | Acting Deputy Editor, House & Home | Central Europe Correspondent | Credit Controller","About Us The Financial Times is one of the world’s leading news organisations, globally recognised for its authority, integrity and accuracy, with a mission to deliver quality information and services worldwide. At the FT, curiosity thrives and ambitious thinking is rewarded. Here, you’re given the chance to reach millions, create work that matters and deliver impartial journalism in a polarised w",other,low
357,nex,greenhouse,47,"2D Game Art Intern | 3D Game Art Intern | 3D Game Artist | Art Director | Associate Manager, CRM","Nex is on a mission to help families rediscover the joy of movement. Created by parents for parents, Nex combines technology and play to deliver fun, social, and interactive experiences powered by natural body motion, encouraging kids and adults to move more, play more, and have fun together. Nex Playground, the company’s award-winning active play system, is purpose-built to get families moving ye",other,low
365,topgolf,linkedin,47,Dishwasher | Team Lead | Golf Services Associate | Cook | Food Runner,"Job Responsibilities Prepare and cook food items according to standardized recipes and menu specifications.Follow proper food safety and sanitation procedures to ensure food quality and safety.Adhere to portion control guidelines and presentation standards.Collaborate with kitchen team members to coordinate food preparation and order execution.Maintain a clean and organized kitchen area, including",other,low
366,trustpilot,greenhouse,47,Account Executive | Account Executive - Belgium market (Flemish speaking) | Account Executive - Benelux market | Account Executive (Mid-level to Senior) Mid-Market DACH | Account Executive - SMB (DACH market),"At Trustpilot, we're on an incredible journey. We're a profitable, high-growth FTSE-250 company with a big vision: to become the universal symbol of trust. We run the world's largest independent consumer review platform, and while we've come a long way, there's still so much exciting work to do. Come join us at the heart of trust! We are a team of multinational customer experience specialists work",other,low
372,carecom,greenhouse,46,"Architect | Care Specialist | Childcare Provider (U.S. Locations) | Creator in Residence - Video, Social-First | Customer Service","About Care.com &nbsp; Care.com is a consumer tech company with heart. We’re on a mission to solve a human challenge we all face: finding great care for the ones we love. We’re moms and dads and pet parents. We have parents and grandparents so we understand that everyone, at some point in their lives, could use a helping hand. Our culture and our products reflect that.&nbsp;&nbsp; Care.com offers a",other,low
374,dhl-supply-chain,linkedin,46,Group Coordinator Lead | Maintenance Supervisor | Inventory Control Clerk | Operations Assistant | Yard Driver NON DOT,"This position requires processing and reconciling supplier invoices, supporting accounts receivable, supporting month-end closing, adhoc reports, and other responsibilities asigned by the manager. Role Purpose: Responsible for timely processing of all aspects of payables and/or receivables. Key Accountabilities: Vendor, customer, and employee setup in Oracle.Enter payable, billing invoices, and pr",other,low
384,trane-technologies,linkedin,46,"Commercial HVAC Service Technician - Columbus, OH | Upper Midwest Contracting Intern | Production Manager | LCUR Account Manager - Bellevue, WA | Equipment Project Manager","At Trane TechnologiesTM and through our businesses including Trane® and Thermo King®, we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at ",other,low
402,rohlik,ashby,45,Ausbildung Fachkraft für Lagerlogistik (m/w/d) | Automation Specialist | Lagermitarbeiter Garching (m/w/d) | Lagermitarbeiter/ Picker / Kommissionierer (m/w/d) | Ausbildung Kaufmann für Büromanagement (m/w/d),"Company Overview Founded in 2014 in the Czech Republic, Rohlik is the European leader of e-grocery in Central Europe. Already active in the Czech Republic ( Rohlik.cz ), Hungary ( Kifli.hu ), Austria ( Gurkerl.at ), Germany ( Knuspr.de ), and other markets. By owning its end-to-end operations, including all technology in-house, Rohlik provides a superior customer experience and the freshest food f",other,low
405,turfmasters,greenhouse,45,Customer Service Representative (Hybrid) - Aggieland Green | Customer Service Representative - One Two Tree | Customer Service Representative - Turf Masters Lawn Care | Customer Service Specialist - Lawn Tech | Field Manager - Brothers Pest,"Turf Masters is now hiring&nbsp; Technician II's in the Greenville, SC area. Turf Masters was founded in 2002 and currently has 10 locations throughout the Southeast. Servicing over 50,000 customers makes us one of the top competitors in the industry. We separate ourselves from our competition by providing a safe and rewarding work environment for our employees, rapid advancement opportunities, an",other,low
409,at-t,linkedin,44,Field Sales Representative | Sr. Specialist Member of Technical Staff | Associate Director - Network Proj/Prog Mgmt | Lead Account Manager 3 Mid Market Mob | Lead Technical Sourcing Management,"Job Description: Overall Purpose: Responsible for supervising a team of fraud personnel that recognize and detect unauthorized access to data and misuse of sensitive customer data. Must be able to work independently. Key Roles and Responsibilities: This position may analyze complex data from multiple sources e.g. ordering, risk assessment and billing.Identify causation, validate the findings, and ",other,low
416,food-lion,linkedin,44,PT Center Store Associate | PT Deli Bakery Sales Associate | PT Food Lion To Go Associate | PT Customer Service Leader | FT Customer Service Leader,"Address: USA-NC-Raleigh-2420 Wycliff Road Store Code: Store 01484 Front End (7224844) Food Lion has been providing an easy, fresh and affordable shopping experience to the communities we serve since 1957. Today, our 82,000 associates serve more than 10 million customers a week across 10 Southeastern and Mid-Atlantic states. Primary Purpose To provide fast, easy, flexible and friendly service to ou",other,low
419,oportun,greenhouse,44,Agente Telefonico en Español | Bilingual Agent | Bilingual English and Spanish Member Loyalty Representative | Bilingual English and Spanish Member Loyalty Representative (R13741) | Bilingual English and Spanish Member Loyalty Representative (R13786),"ABOUT OPORTUN Oportun (Nasdaq: OPRT) is a mission-driven financial services company that puts its members' financial goals within reach. With intelligent borrowing, savings, and budgeting capabilities, Oportun empowers members with the confidence to build a better financial future. Since inception, Oportun has provided more than $21.3 billion in responsible and affordable credit, saved its members",other,low
438,acceldata,lever,43,Associate Product Support Engineer | Customer Advocacy Manager | Enterprise Account Executive - Central | Enterprise Account Executive - Great Lakes | Enterprise Account Executive - NY Metro,"ABOUT US Acceldata is the market leader in Enterprise Data Observability. Founded in 2018 and backed by top investors including Insight Partners, March Capital, Lightspeed, Sorenson Ventures, Industry Ventures, and Emergent Ventures, we are a Series-C funded company headquartered in Silicon Valley. Our Enterprise Data Observability Platform—the first of its kind—helps enterprises build and operate",other,low
444,doo-group,jobstreet,43,"Senior Trading Executive - (Futures, Options) | Senior Finance Manager | Accounts Executive (GL) | Senior Accounts Executive (GL) | Senior Legal and Compliance Executive",[Category: Legal / Generalists - In-house] Working closely with the CEO and spearheading the legal and compliance team to assist in business expansion plan especially in licensing and incorporation of new business around the world. You will gain regional exposure in this role as the business is growing aggressively. If a candidate does not meet all the requirements for the Compliance Manager posit,other,low
445,epicgames,greenhouse,43,"Cinematics Animation Director | Concept Outsource Lead | Data Science Lead | Design Director, Battle Pass | Influencer Marketing Director","WHAT MAKES US EPIC? At the core of Epic’s success are talented, passionate people. Epic prides itself on creating a collaborative, welcoming, and creative environment. Whether it’s building award-winning games or crafting engine technology that enables others to make visually stunning interactive experiences, we’re always innovating. Being Epic means being a part of a team that continually strives",other,low
447,floor-decor,linkedin,43,Pro Services Manager | Regional Commercial Account Manager - Virginia | Program Manager – ERP Implementation | Chief Executive Merchant in Training | ServiceNow - Information Technology Manager,"Pay Range $16.00 - $20.40 Purpose As a Cashier (Customer Service Associate), you are the first and final interaction for Floor & Decor’s customers. Our Cashiers are responsible for providing excellent customer service through greeting customers, checking out customers, handling product returns, performing basic cash office functions and providing every customer with an exceptional experience. Full",other,low
