"rank","slug","source","n_jobs","top_titles","sample_description"
"11","rehire","ashby","44","Asistente Técnico de Ventas (Comercial & Relación con Clientes) | Recruiter | Ejecutivo regional de ventas (PAN) | BDR Seguridad eléctrica | Inside Sales Representative (Atención al Cliente & Gestión Comercial)","Rol: Buscamos un perfil comercial de alto rendimiento, capaz de combinar estrategia y ejecución para acelerar el crecimiento regional. Este rol está orientado a quienes disfrutan abrir mercado desde cero , generar relaciones de alto nivel y cerrar acuerdos complejos en el sector salud. Ideal para quienes se mueven rápido, piensan en grande y miden su éxito en resultados tangibles. Responsabilidade"
"12","permitflow","ashby","32","Recruiting Coordinator (Remote) | Business Operations Manager | Permit Operations Lead (Fully Remote) | Permit Operations Lead (NYC Hybrid) | Business Development Representative","PermitFlow is redefining how America builds. We’re an applied AI company serving the nation’s builders, tackling one of the largest information challenges in the economy: understanding what can be built, where, and how . Our AI agent workforce helps the fastest-growing construction companies navigate everything from permitting and licensing to inspections and project closeouts – accelerating housi"
"13","pivotal","lever","30","Aircraft Mechanic II | Business Development Representative | Data & Systems Intelligence Lead | Facilities Maintenance Technician | Flight Training Manager","Pivotal is the leader in the emerging market of electric Vertical Takeoff and Landing (eVTOL) aircraft. We design, develop, and manufacture light eVTOL aircraft and are renowned for the BlackFly aircraft the world's first light eVTOL to fly manned missions and enter the consumer market. Efficient, compact, and simple, Pivotal aircraft are designed for a wide range of consumer, public service, and "
"14","redwoodcu","lever","30","Assistant Manager, Business Technology Analyst | Assistant Manager, Consumer Loan Doc & Funding | Assistant Manager, QA | Assistant Manager, Secondary Marketing & Pricing | Auto Sales Assistant","Redwood Credit Union is looking for an IT Specialist III, who will be the technical lead that ensures the confidentiality, availability and integrity of computing systems within the organization. This is a Certified A+ and MCP professional who provides advanced computer and network operations support and provides second tier support of desktop and network equipment. The specialist provides superio"
"15","discovery-senior-living","linkedin","29","Part Time Cook | Full Time Housekeeper | Part Time Dietary Aide | Caregiver | Part-Time LPN","DISCOVER YOUR PURPOSE! At “Seaton Ocean Grove”, a thriving Discovery Senior Living community, we have meaningful job opportunities with the ability to make a difference in the lives of our residents. About Discovery Senior Living Discovery Senior Living ranks prominently among the 5 largest senior housing providers in the US and is nationally renowned for luxury senior-living communities. With ove"
"16","laskoproducts","greenhouse","28","Associate Product Marketing Manager | Buyer | Certification Engineer- Compliance and Product Safety | Corporate Cost Analyst | Cost Analyst","Lasko Products, a market leader in home comfort products for over 100 years, is looking to add a Buyer to the Supply Chain team in our Franklin, TN manufacturing facility. This role will be fully onsite. This role is a critical member of the Supply Chain team, responsible for ensuring the timely availability of raw materials that support uninterrupted production. The position partners closely with"
"17","arch.co","ashby","27","Software Engineer | Talent Pool | Senior Software Engineer | Engineering Manager | Client Implementation Specialist - SFO/HNWI","Our Company Arch is a Series B financial technology company that automates the management of private investments, improving access, understanding, and the human experience of investing across asset classes. Private investments such as venture capital, hedge funds, and private equity, make up roughly 25% of the investment universe. Traditionally, investors, advisors, banks, families, and managers t"
"18","texasairsystems","greenhouse","27","Boiler / Hydronics Service Technician | Commercial HVAC Service Technician | Commercial HVAC Service Technician (Data Centers) | Commercial HVAC Service Technician - Lamar CISD | Commercial HVAC Technician","Texas AirSystems has been shaping the HVAC landscape in Texas for over four decades. With 500+ team members and seven offices statewide, we partner with over 60 leading manufacturers to deliver custom, high-performance solutions that stand the test of time. Here, your work matters. You’ll be part of a team that values collaboration, rewards curiosity, and gives you the tools to keep growing. Wheth"
"19","nirvana-asia-group","jobstreet","26","Management Support Executive | Business Analyst | Central Procurement Internship (Mandarin Speaking) | Credit Admin & Recovery Executive (Fresh/Junior)- Mandarin Speaking | Admin Assistant (Mandarin Speaking)","[Category: Marketing & Communications / Event Management] Responsibility: Develop event concepts, themes and timelines. Source and negotiate with vendors to secure necessary services. Create and manage event budgets, ensuring cost-effectiveness and adherence to financial guidelines. Develop and manage event schedules and timelines. Oversee the work of various to ensure they meet quality and timeli"
"20","a3c41b8b71eff8c4","greenhouse","25","Associate Sales Engineer | Associate Site Reliability Engineer | Business Development Representative | Commercial Account Manager | Director, Revenue Operations","&nbsp; Join Ivanti and accelerate your career! Are you ready to shape how cutting-edge IT solutions reach the market? As our Sales Engineer, you will be responsible for the technical selling of Ivanti Solutions with a focus on Endpoint Management and Security in Japan. &nbsp; Why this role matters As a technical Pre-Sales Consultant / Solutions Engineer, you will play an essential role in showcasi"
"21","align","greenhouse","24","Account Executive, Expansion - Enterprise | Account Executive, Expansion - Velocity | Account Executive, New Logo - Enterprise | Account Executive, New Logo - Startup | Business Development Representative","About the Role The GRC analyst helps maintain A-LIGN’s management system as it relates to information security standards. In this role, you will be responsible for the coordination, maintenance, and improvement of A-LIGN’s corporate compliance program, including internal and external audits. Reports to Director of Compliance and Program Management Pay Classification Full-Time Responsibilities &nbs"
"22","assured","ashby","24","Senior/Principal Engagement Manager | Staff Software Development Engineer in Test (SDET) | Principal Product Manager | Staff Application Platform Engineer (DX) | Software Engineering Manager","Assured is on a mission to modernize insurance. Claims processing (i.e. should we pay this claim?), while often overlooked, is the foundation of the entire industry. It’s currently highly manual, involving phone calls, faxes, and gut instinct, costing tens of billions of dollars a year. We can do better. At Assured, we provide large insurers with the software solutions they need to win in a modern"
"23","matx","greenhouse","24","AI Accelerator Silicon Architect | Architect | ASIC/SOC CAD Engineer | ASIC/SOC Silicon Physical Design Engineer | ASIC/SOC Silicon Verification Engineer","What MatX Is Building MatX designs hardware tailored for the world’s best AI models. Our hardware will make a given level of intelligence available 3-5 years sooner. We are developing vertically integrated full-stack solutions from silicon to systems including hardware and software to train and run the world’s largest models. MatX is seeking an Architect to join our team as we create best-in-class"
"24","synergyecp","lever","24","AI/ML Engineer | Configuration Manager | Database Engineer | DevOps / Cloud Engineer | Junior Full Stack Developer","Founded in 2007 and headquartered in Columbia, Maryland, Synergy ECP is a leading provider of cybersecurity, software and systems engineering and IT services to the U.S. intelligence and defense communities. The company leverages its expertise in data transport solutions, software and systems engineering, and other solutions to deliver critical and innovative capabilities to high-level decision ma"
"25","atkore","linkedin","23","1st Shift Quality Control Technician | Production Control Manager | Fork Lift Operator - 1st shift 7am-3pm | Warehouse Associate - 2nd Shift | Material Handler","We are currently searching for a Material Handler to be based out of Binghamton NY. Reporting to the Production Manager, this person will be responsible for packaging product, monitor product for defects, assist in the startup or changeover of products, keep work area’s safe, clean & organized. The ideal candidate will have a high school diploma or equivalent and able to lift 50 pounds unassisted."
"26","calendly","greenhouse","23","Backend Engineer - Security | Customer Success Manager II | Director, Customer Education | Director of Brand & Advocacy | Engineering Manager","What’s in it for you?&nbsp; Ready to make a serious impact? Millions of people already rely on Calendly, and we’re still in the midst of exciting product growth — it’s a fantastic time to join us. Everything you’ll work on here will accelerate your career to the next level. If you want to learn, grow, and do the best work of your life alongside the best people you’ve ever worked with, then we hope"
"27","connectedcannabis","greenhouse","23","Assistant General Manager, Cultivation | Assistant Manager, Retail | Brand Ambassador (part time) | Brand Ambassador (part time contract position) | Budtender","About Us Connected International, Inc. (Connected Cannabis Co.) is a leading vertically integrated cannabis company based in Sacramento and operating in California, Arizona, and Florida. With over 11 years experience, Connected specializes in breeding, growing, manufacturing, and distributing top-shelf cannabis through its state-of-the-art facilities and proprietary genetics.&nbsp; With over 250 e"
"28","flowtraders","greenhouse","23","Compliance Officer | Data Engineering Manager | Delta One Trader | Digital Assets Operations Analyst | Digital Assets Trader","Flow Traders is looking for an experienced Recruiter to join our growing Recruitment team in Hong Kong. The ideal candidate is driven and proactive with a positive can-do attitude. This is a unique opportunity to join a leading proprietary trading firm with an entrepreneurial and innovative culture at the heart of its business. We value quick-witted, creative minds and challenge them to make full "
"29","sage-it","linkedin","23","TIBCO BWCE Lead | Node.JS Developer | JAVA FULLSTACK DEVELOPER WITH AWS | DevOps Engineer | SAP FSCM (Credit Management Experience)","Hi, This is Ravindra, Representing Sage IT Inc., We do have an open position with one of our esteemed clients. Request you to kindly go through the below Job Description and let me know your thoughts. Role: Technical Project Managerlocation: Austin,TXSalary below $110-120KWork authorization: USC,GC,H1-Transfers are appreciated to apply Job DescriptionProgram Management (Primary) - Immediate two TP"
"30","sully-ai","ashby","23","GRC Specialist | Ex-Founder | Head of Engineering | Head of Product | Senior Software Engineer","About Us At Sully.ai , We’re Building the Most Impactful Healthcare Company on Earth We believe that access to a great doctor is a basic human right. Today, that’s not a reality. Delays, misdiagnoses, administrative chaos, and burnout plague the system. Our Mission One Human, One Doctor . We enable our customers to staff 30% of their workforce with AI by creating a shared agent architecture for sc"
"31","nozominetworks","greenhouse","22","Account Manager (Contract) | Account Manager, UAE | Associate Product Security Engineer | Associate Sales Engineer, Middle East | Customer Success Manager","Now is an amazing time to join Nozomi Networks as we build the future of OT and IoT cybersecurity. We defend some of the world’s largest organizations and critical infrastructure in more than 68 countries and we’re just getting started. Our AI-powered cybersecurity platform secures operational technology (OT) and Internet of Things (IoT) infrastructures for enterprises and government entities acro"
"32","omadahealth","greenhouse","22","Accounting Manager, Corporate Accounting | Associate Product Manager, Data Governance | Chief Revenue Officer | Customer Success Associate - SMB | Director, Growth Marketing","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp; Job Overview:&nbsp; We are seeking an experienced Senior Manager, Tax to build and lead Omada’s tax function. In this player-coach role you will own all aspects of U.S. direct tax (income &amp; franchise) while ensuring multistate indirect-tax compliance. You will design scalable, SOX-ready proc"
"33","siftstack","ashby","22","Senior Software Engineer, Infrastructure | Software Engineer, Infrastructure | Software Engineer, Frontend | Senior Software Engineer, Full Stack | Account Executive","About Sift Sift is the data infrastructure platform for hardware engineering teams. Sift turns high-frequency telemetry into engineering insights for mission-critical systems. Teams use Sift to build and operate rockets, satellites, autonomous vehicles, energy systems, defense platforms, and more. Founded by former SpaceX engineers who built the tools behind Dragon and Starlink, Sift is building t"
"34","comfy-org","ashby","21","Senior Software Engineer, Frontend | Senior Software Engineer, Backend Generalist | Senior/Staff Applied Machine Learning Engineer | Freelance Motion Designer | Creative Artist","The Role We’re hiring Comfy’s first in-house recruiter to build our hiring engine from the ground up. You’ll shape how we find, attract, and close the people who define Comfy — from engineers and ML practitioners to designers, storytellers, and GTM operators. You’ll design the systems that power our growth: sourcing strategies, interview loops, candidate experience, and the overall rhythm of how w"
"35","example","greenhouse","21","Account Director | Account Executive | App Platform Software Engineer | Business Development Representative | Director of People","Who this job is right for Aliquam in fringilla velit. Aliquam luctus tincidunt magna non accumsan. Curabitur vehicula neque vitae sapien tempus euismod. Curabitur condimentum, dui ac egestas euismod, purus sapien vehicula augue, quis porta metus mi eget quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam vitae felis nulla. Cras ligula felis, "
"36","learning-care-group","linkedin","21","Teacher | Food Specialist - 24 Mile Rd/Shelby Twp | Team Lead - Loftus Lane/Savage | Infant/Toddler Teacher | Childcare Teachers & Leads","Join a strong community where all we do is care-for the children and families we serve every day, as well as for our dedicated team members. Our people are our best asset. We listen and we know what you're looking for: You want benefits. We support you with a minimum 50% childcare discount, immediate access to benefits, innovative health programs, 401(k) company match, and much more. You want bala"
"37","luxoft-malaysia-sdn-bhd","jobstreet","21","MCTF 2024 at Mid Valley Exhibition Centre (30-31 March 2024) | Developer (Oracle OFSAA/Hyperion/OBIEE) | Android Developer | (Java, WebSphere, Tomcat) Developer | System Analyst - Regulatory Reporting on CRS","[Category: Information & Communication Technology / Programme & Project Management] Project Description: Our Client a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America are looking for Consultants to be part of the project The Technology and Operations function is comprised of five teams of spec"
"38","numeral","ashby","21","Software Engineer (Product) | Software Engineer (Infra) | Data Analyst | Business Operations Manager (International) | Account Executive - Commercial","About Numeral: Numeral is transforming how taxes get done. Digital businesses are currently bogged down by a painful web of regulations across 47 states and 50+ countries. We’re eliminating this burden so teams can focus on their core mission. We’re the largest and fastest growing AI-native tax solution. Started in 2023, Numeral has raised over $57M from Benchmark, Mayfield, Y-Combinator, and many"
"39","pagayais","greenhouse","20","AI Implementation Specialist | AI Lead | Assistant Controller | Data Science Group Lead | IT Director","About Pagaya Pagaya is a global technology company making life-changing financial products and services available to more people nationwide, as it reshapes the financial services ecosystem. By using machine learning, a vast data network and a sophisticated AI-driven approach, Pagaya provides comprehensive consumer credit and residential real estate solutions for its partners, their customers, and "
"40","particle41llc","greenhouse","20","AI Engineer | Data Engineer | Data Engineer (Elasticsearch + Datawarehousing) | Data Engineer - PowerBI | Data Science & Engineering Lead","Join the Particle41 Team! At Particle41, we're always looking for talented people to join our growing team. If you don't see the perfect job opening right now, don't worry! We want to hear from you.&nbsp;Share your skills, experiences, and what makes you passionate about your work. Let us know why you'd be a great fit for Particle41. We review every application and will reach out if we find a matc"
"41","warisan-tc-holdings-bhd","jobstreet","20","IT BUSINESS ANALYST (GOVERNANCE) | Group Risk Management Manager | Finance & Administration Officer | Finance & Administration Internship | Sales Executive - Johor","[Category: Marketing & Communications / Marketing Communications] Job Responsibilities To assist the Head of Marketing in implementing the company’s annual marketing plan. Responsible in managing marketing and branding for selected brands / products and work closely with Advertising Agency, Product Planning, Sales Planning, Suppliers and etc. to develop a 360 marketing communication strategy plan "
"42","blackbird-labs-inc","ashby","19","Senior/Staff Backend Engineer | Director of Finance - New York, NY | Brand Marketing Lead - New York, NY | Account Executive - New York, NY | Senior Backend Engineer, Blockchain - New York, NY","About Blackbird: Blackbird Labs is a loyalty and payments platform establishing meaningful connections between the world’s best restaurants and their customers. Served up in 2022 by Ben Leventhal, co-founder of Eater and Resy, Blackbird offers a fully customizable loyalty programming platform for restaurants and a consumer app designed to make every guest feel like a bonafide VIP no matter where t"
"43","datatonic","ashby","19","Delivery Manager | Lead Machine Learning Engineer | Machine Learning Engineer | Principal Data Architect | Senior Data Engineer","Datatonic is the leading cloud data + AI consultancy for the world’s most ambitious businesses. We’re a new breed of consultancy, challenging traditions to deliver tangible innovation at the leading edge of Google Cloud. We fuse logic and magic to help organisations unlock the value of data and solve their most complex business challenges fast; delivering more accurate predictions, automating deci"
"44","genezenlabs","greenhouse","19","Automation Engineer I/II/III | Director of Business Development | Director, Quality Control | Lead, QCTS Data Integrity & Computerized Systems | Manufacturing Supervisor - 1st Shift","The field of gene therapy is growing rapidly and Genezen is here to meet the exacting needs of our clients. We provide process development, produce GMP viral vectors, and provide cell transduction for gene and cell therapy clinical trials and are proud to be a part of the process that leads to new cures.&nbsp; WORKING AT GENEZEN Many&nbsp;people have worked in environments where you feel like just"
"45","quartermaster","ashby","19","Applied ML Engineer | Senior RF Machine Learning Engineer | Senior Software Engineer, Full Stack | Opportunity Hire | Senior Accountant","Role Overview: The Summer Intern will support high-priority initiatives across the company, working on real-world problems in maritime operations, national security, and data-driven decision making. Interns will be placed on a team based on their skills, interests, and company needs, with primary opportunities across engineering, growth/strategy, and operations (with flexibility for other areas as"
"46","deepl","ashby","18","Partner Sales Manager, Americas | Senior Premium Customer Support Specialist | Senior Manager - Customer Support | Senior Manager, Customer Success | Staff/Senior Solutions Consultant","Meet DeepL DeepL is a global AI product and research company focused on building secure, intelligent solutions to complex business problems. Over 200,000 business customers and millions of individuals across 228 global markets today trust DeepL's Language AI platform for human-like translation, improved writing and real-time voice translation. Founded in 2017 by CEO Jaroslaw “Jarek” Kutylowski, De"
"47","gallagher","linkedin","18","Personal Lines Client Service Manager | Claims Supervisor - General Liability and Commercial Auto | Territory Manager - Southeast | Consultant | Client Service Manager","Discover a world of endless possibilities at Gallagher Benefit Services, where you'll have the power to shape the future of workplaces across industries. As a member of our team, you become the driving force behind positive change, helping clients build environments where employees thrive. Embrace the opportunity to impact lives, unlock potential, and create a legacy of remarkable transformation. "
"48","gradial","greenhouse","18","Applied AI Engineer | Executive Assistant (CEO) | Financial Analyst, Ops | Forward Deployed Engineer | Forward Deployed Engineering Lead","Gradial helps marketers and creatives move from idea to execution faster. Our platform turns intent into action, automating website updates, design system migrations, and ongoing content optimization while preserving brand integrity across every touchpoint. Backed by leading investors, we’re building software that adapts to the user, not the other way around. We move with urgency, operate with own"
"49","insurify","greenhouse","18","Business Data Analyst | Customer Service Representative | Digital Insurance Agent | Editor, AI Content Systems | HR Business Partner","Warning: Fraudulent Job Adverts Beware of fraudulent activities claiming to represent Insurify. We are not associated with any entities soliciting personal information or payment. The safety of our job seekers is a top priority, and we actively work to prevent such incidents. Insurify will never request sensitive information or payment during the hiring process. Be cautious of text-only interviews"
"50","merklescience","lever","18","Account Executive - US | Customer Success Manager (New York) | Director of Regulatory Affairs | Director, Partnerships - US | Director, Sales","⚡️ About Merkle Science Merkle Science provides blockchain transaction monitoring and intelligence solutions for web3 companies, digital asset service providers, financial institutions, law enforcement and government agencies to detect, investigate, and prevent illicit use of cryptocurrencies. Our vision is to make cryptocurrencies safe and provide infrastructure for the safe and compliant growth "
"51","nirvana-kl-berhad","jobstreet","18","Customer Service Executive/Assistant (Mandarin Speaking, Nirvana 2 KL) | Counter Customer Service Executive (Mandarin Speaking, Nirvana 2 KL) | Service & Operation Assistant (Mandarin Speaking, Nirvana 2 KL) | Admin (Customer Service) Intern (Nirvana 2 KL) | Finance (Credit Admin Recovery) Intern (Nirvana 2 KL)","[Category: Manufacturing, Transport & Logistics / Purchasing, Procurement & Inventory] ~~5 Star International Hotel Alike Working Environment~~ Free Parking at Indoor Parking Lot Meal Discount for Staff Yearly Increment and Performance Bonus Purchasing Assistant (Full Time) 1. Perform sourcing, evaluation of quotations, and issuing of purchase order to vendors. 2. Coordinate, receive, arrange, and"
"52","ziprecruiter","greenhouse","18","Senior Software Engineer, Machine Learning | Director of Product Management, Job Seeker | Enterprise, Account Executive | Enterprise Account Manager, Staffing | Inside Sales - Account Executive, Acquisition","We offer a hybrid work environment. Most US-based positions can also be performed remotely (any exceptions will be noted in the Minimum Qualifications below.) Our Mission:&nbsp; To actively connect people to their next great opportunity. Who We Are:&nbsp; ZipRecruiter is a leading online employment marketplace. Powered by AI-driven smart matching technology, the company actively connects millions "
"53","bravo","greenhouse","17","Architect | Assistant Superintendent - Evening Shift | Associate Program Manager | Construction Project Manager | Construction Project Manager - Evening Shift","INTRODUCTION&nbsp; BRAVO is the partnering of Velocity Architectural and Engineering Services and Bradford Construction Corporation (WBE). The cooperative brings together some of the industry’s most distinguished leaders and technical experts, united by their decades of experience modernizing vital infrastructure and iconic facilities throughout the New York metropolitan area. BRAVO delivers value"
"54","charliehealthepd","greenhouse","17","Director, Data & Analytics Engineering | Director of IT | Distinguished AI Engineer | Engineering Manager, Core Platform | Lead Data Engineer, Revenue Engine","Why Charlie Health? Millions of people across the country are navigating mental health conditions, substance use disorders, and eating disorders, but too often, they’re met with barriers to care. From limited local options and long wait times to treatment that lacks personalization, behavioral healthcare can leave people feeling unseen and unsupported. Charlie Health exists to change that. Our mis"
"55","confidencial","linkedin","17","Senior Vice President Construction | Senior Vice President Grants | Senior Vice President Housing | Senior vice president Event Management | Engineering Manager | Blockchain","We are currently focused on building the data layer of AI with our product, a web extension that runs in a user's background and sells unused internet to artificial intelligence labs. By running a node with us, users become an integral part of AI's training process, and they are compensated accordingly. The growth of AI is a development of historic significance, and our goal is to distribute the b"
"56","dabsinc","lever","17","Behavioral Skills Instructor ($20-$23 Day Hours) | Direct Support Professional | Direct Support Professional - American Sign Language (ASL) | Direct Support Professional (Behavior Technician Experience) | Direct Support Professional (DSP)","Empowering Independence. Upholding Dignity. At DABS, Inc., we provide comprehensive skills training and supported living services to adults with intellectual and developmental disabilities. Since 2005, we’ve been empowering individuals to lead more independent lives—through advocacy, innovation, and unwavering commitment. We believe in showing up—especially when things get hard. Dignity is our gui"
"57","firecrawl","ashby","17","Design Engineer | Sales Engineer | Forward Deployed Engineer | Technical BDR | Revenue Operations Lead","Sales Engineer You'll partner with AEs and Founders to help technical buyers — engineers, data scientists, AI/ML leads — understand how Firecrawl solves their hardest web-data problems. You'll lead demos, build prototypes, handle deep technical questions, and ensure every prospect hits the ""aha moment"" where Firecrawl's API just clicks. This is a high-impact role where you'll influence product dir"
"58","givecampus","greenhouse","17","Account Executive, Higher Ed, Major Accounts | Account Executive- Strategic Accounts- New York | Account Executive- Strategic Accounts- Southeast | Account Executive- Strategic- North Central | Director of Field Marketing","GiveCampus is the world's leading fundraising platform for non-profit educational institutions. Trusted by millions of donors and 1,300+ colleges, universities, and K-12 schools, our mission is to help advance the quality, the affordability, and the accessibility of education. At our current pace, we will facilitate $100 billion in charitable giving over the next decade–enough money to send more t"
"59","lvi-associates","linkedin","17","Building Enclosure Engineer/Architect | Traveling Project Manager (Mission Critical) | Remote HVAC Controls Specialist | 🚀Principal Geotechnical Engineer (ESOP)(Bonus)(Fully Remote)🚀 | Senior Geotechnical Engineer","Job Title: Senior Project Executive - High End Hotel DevelopmentLocation: Nashville, Tennessee, United StatesCompany: [Confidential for Client] About Us: Our client is a leading player in the hospitality and entertainment industry, specializing in the development and management of world-class casino hotels. With a multi-billion dollar project underway in Nashville, Tennessee, they are seeking a dy"
"60","away","ashby","16","Store Manager, Venice Beach | Sales Associate, NorthPark (Part-Time) | Quality Supervisor, Cambodia | Quality Inspector | Sales Associate, Williamsburg (Part-Time)","About Away We believe travel makes us better. Launched in 2016 with one perfectly designed carry-on, we now offer a range of luggage and travel essentials for every journey. Together we create, innovate, and embark on this journey as a community of travelers, helping to make travel more seamless for everyone. Join The Crew We are hiring a Quality Inspector to join our Quality team. This position r"
"61","bubble","ashby","16","Technical Product Support Specialist | Senior Software Engineer, Backend | Applied AI Engineer | Senior Product Manager, Core | Senior Software Engineer, Core Developer Experience","We built Bubble with a clear mission: to empower everyone to create software. Our AI visual development platform lets anyone, from first-time entrepreneurs to enterprise teams, take an idea from prompt to fully-functional, scalable app across web, iOS, and Android. With over 6 million users in more than 100 countries, Bubble is breaking down the barriers to entrepreneurship and innovation worldwid"
"62","doppel","ashby","16","Forward Deployed Engineer | Software Engineer, Autopilot | Software Engineer, Detection | Software Engineer, Infrastructure | Software Engineer, Simulation","Why Join Doppel Doppel is built to outsmart one of the great threats AI presents: mass-manufactured social engineering. Countless scams, deepfakes, and other social engineering attacks are surging across every digital channel: websites, social media, ads, encrypted messaging apps, mobile, and more. Our mission is simple but bold: make the internet a safer place by outsmarting the world’s fastest-e"
"63","doximity","greenhouse","16","Associate Director, Business Analytics | Clinical Success Manager | Community Marketing Manager | Data Analyst | Data Analyst, Business Intelligence","Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated level of responsibility in everything we do. We don't take that responsibility lightly and are committed to building diverse teams with an inclusive culture that can make a d"
"64","granola","ashby","16","AI Engineer | Join our Talent Pool | Design Engineer | Security Engineer | Product Engineer (Backend)","Hey! We're team Granola 👋 If you haven't already, you should check out what we're building , and why you should work here . We are looking for a self-starting engineer, passionate about applying the latest advancements in LLMs to create user-centric products. In this role, you will stay on top of the latest LLM trends, build evaluation frameworks for AI features, and apply your knowledge with a pr"
"65","hackajob","linkedin","16","Cloud Engineer | Java Engineer | Back End Developer | Network Engineer | Full Stack Engineer","hackajob has partnered with the nation’s largest car retailer company, with offices across the USA. The role: Solutions ArchitectLocation: Hybrid in Dallas, TXEmployment type: Full time permanent Offer: Up to $170K depending on experience + benefits package. Qualifications and RequirementsBasic QualificationsBachelor’s degree in computer science, or IT related field.8+ years of application develop"
